English,Romanian
noise,zgomot
expose,expune
mass,masa
multiple,multiplu
vegetable,vegetal
seed,sămânță
reject,respinge
decline,declin
experiment,experiment
legislation,legislație
hat,pălărie
either,fie
secret,secret
massive,masiv
grass,iarbă
definitely,categoric
closer,mai aproape
liberal,liberal
stir,se amesteca
captain,căpitan
revolution,revoluţie
typically,de obicei
sector,sector
hand,mână
approve,aproba
uncle,Unchiul
volume,volum
explanation,explicaţie
sentence,propoziție
escape,evadare
unusual,neobișnuit
distribution,distribuție
rural,rural
cast,distribuit
drink,băutură
sleep,dormi
household,gospodărie
celebrate,sărbători
taste,gust
characteristic,caracteristică
outside,in afara
addition,plus
acquire,dobândi
closely,îndeaproape
proper,propriu -zis
tone,ton
topic,subiect
towards,către
waste,deşeuri
wheel,roată
athlete,atlet
convince,convinge
alternative,alternativă
pepper,piper
cream,cremă
land,teren
technical,tehnic
square,pătrat
plenty,mult
behind,in spate
invest,investi
mind,minte
potential,potenţial
regard,atenție
intervention,intervenţie
illegal,ilegal
lower,inferior
compete,concura
talent,talent
guilty,vinovat
living,viaţă
milk,lapte
height,înălţime
list,listă
live,Trăi
assistance,asistenţă
personality,personalitate
Israeli,Israel
gay,gay
forever,pentru totdeauna
assess,evalua
weak,slab
female,Femeie
cigarette,ţigară
permit,permite
passenger,pasager
criticism,critică
twenty,douăzeci
honor,onora
creative,creativ
offer,oferi
knock,bate
display,afişa
campus,Campus
definition,definiție
gray,gri
signal,semnal
warning,avertizare
physician,medic
column,coloană
interaction,interacţiune
dramatic,dramatic
review,revizuire
republic,republică
primarily,în primul rând
priority,prioritate
achievement,realizare
fun,distracţie
request,cerere
wrap,înveliș
engineer,inginer
rice,orez
scholar,savant
airline,Compania aeriană
expense,cheltuieli
observation,observare
gap,decalaj
agenda,agendă
creation,creare
drag,trage
suspect,suspect
fishing,pescuit
bread,pâine
hi,Bună
unable,incapabil
scream,ţipăt
journalist,Jurnalist
constitution,constituţie
lucky,norocos
excellent,excelent
mass,masa
payment,plată
deep,adânc
selection,selecţie
lab,laborator
arrest,arestare
deeply,profund
sad,trist
childhood,copilărie
suppose,presupune
fairly,destul de
prosecutor,procuror
violent,violent
recover,recupera
roof,acoperiş
amendment,amendament
emotion,emoţie
existing,existent
far,departe
graduate,absolvent
factory,fabrică
schedule,programa
avenue,bulevard
spiritual,spiritual
ride,plimbare
wash,spalare
planning,planificare
self,de sine
later,mai tarziu
shout,strigăt
silent,tăcut
brief,scurt
error,eroare
widely,pe scară largă
description,Descriere
dark,întuneric
immediate,imediat
purchase,cumpărare
leading,conducere
funding,finanțarea
settlement,decontare
prayer,rugăciune
initiative,inițiativă
coalition,coaliţie
comparison,comparaţie
portion,porţiune
opponent,adversar
tension,tensiune
chapter,capitol
bother,deranja
curriculum,curriculum
consist,constă
immigrant,imigrant
enable,permite
faculty,facultate
steel,oţel
desert,deşert
asset,activ
slow,încet
housing,locuințe
transform,transforma
regarding,in ceea ce priveste
perceive,percepe
depression,depresie
inform,informa
formal,formal
abandon,abandon
release,eliberare
chip,Chip
double,dubla
remaining,rămas
existence,existenţă
cheese,brânză
link,legătură
joint,comun
savings,economii
rule,regulă
preserve,conservare
diet,dietă
territory,teritoriu
tea,ceai
bend,aplecare
gain,câştig
arrange,aranja
resolve,rezolva
walk,mers pe jos
passage,trecere
lock,Lacăt
tear,rupere
resistance,rezistenţă
present,prezent
stream,curent
slide,alunecare
green,verde
sharp,ascuțit
display,afişa
cycle,ciclu
pose,poză
phase,fază
transition,tranziție
reduction,reducere
negotiation,negociere
manufacturer,producător
interview,interviu
quote,citat
deserve,merita
trust,încredere
sale,vânzare
layer,strat
wedding,nuntă
discovery,descoperire
mine,A mea
academy,academie
sand,nisip
hit,lovit
missile,rachetă
elect,alege
climate,climat
participation,participare
knife,cuţit
benefit,beneficiu
atmosphere,atmosfera
joke,glumă
urge,îndemn
ordinary,comun
visual,vizual
numerous,numeroase
occasion,ocazie
philosophy,filozofie
suicide,sinucidere
shall,trebuie
glad,bucuros
goods,bunuri
moreover,în plus
coat,palton
consistent,consistent
alcohol,alcool
opposite,opus
cop,poliţist
universe,univers
breathe,a respira
practical,practic
therapy,terapie
shift,schimb
racial,rasial
elsewhere,în altă parte
rarely,rareori
essentially,in esenta
discipline,disciplina
reply,răspuns
Mexican,mexican
passion,pasiune
tale,poveste
dust,praf
kiss,sărut
iron,fier
independence,independenţă
contact,a lua legatura
Spanish,Spaniolă
advance,avans
pot,oală
potato,cartof
motor,motor
pack,ambalaj
dominate,domina
marketing,marketing
disaster,dezastru
exposure,expunere
complaint,plângere
cap,capac
congressional,Congres
jacket,sacou
intense,intens
touch,atingere
for,pentru
impose,a impune
electric,electric
implement,pune în aplicare
enforcement,executare
analyze,a analiza
sure,sigur
retire,retrage
deficit,deficit
emphasis,accent
concentrate,concentrat
accomplish,realiza
previously,anterior
symbol,simbol
bureau,birou
laboratory,laborator
attach,atașați
fundamental,fundamental
whenever,oricând
arrangement,aranjament
investigator,investigator
mark,marcă
another,o alta
shock,şoc
adjust,regla
employer,angajator
visible,vizibil
pass,trece
priest,preot
volunteer,voluntar
interpretation,interpretare
entertainment,divertisment
habit,obicei
illustrate,ilustra
equally,la fel de
prospect,perspectivă
enhance,spori
severe,sever
other,alte
monitor,monitor
amazing,uimitor
poverty,sărăcie
increasing,crescând
boss,șef
inspire,a inspira
anger,furie
heavily,puternic
parking,parcare
print,imprimare
maker,producător
involvement,implicare
queen,regină
gene,Gene
vary,varia
approximately,aproximativ
gallery,Galerie
evaluate,a evalua
fat,gras
trade,comerț
transfer,transfer
exercise,exercițiu
usual,ca de obicei
mystery,mister
entry,intrare
ring,inel
mood,starea de spirit
bean,fasole
still,încă
objective,obiectiv
capable,capabil
constant,constant
light,ușoară
substance,substanţă
total,total
strongly,puternic
exception,excepție
commander,comandant
spending,cheltuire
crucial,crucial
acre,acru
wire,sârmă
command,comanda
nervous,agitat
cross,cruce
so-called,așa-zisul
competitive,competitiv
Asian,asiatic
tower,turn
veteran,veteran
creature,creatură
smoke,fum
Arab,arab
prince,prinţ
alliance,alianţă
transportation,transport
stop,Stop
luck,noroc
symptom,simptom
bury,îngropa
clinic,Clinica
illness,maladie
championship,campionat
prisoner,prizonier
reputation,reputatie
edition,ediție
juice,suc
sauce,sos
peak,vârf
confront,confrunta
breakfast,mic dejun
recognition,recunoaştere
smell,miros
ally,aliat
pure,pur
toy,jucărie
salary,salariu
electronic,electronic
bathroom,baie
surely,cu siguranţă
psychological,psihologic
evaluation,evaluare
dimension,dimensiune
block,bloc
race,rasă
personnel,personal
belt,centură
accompany,însoți
implication,implicare
album,album
perfectly,perfect
strike,grevă
jet,avion
hello,Buna ziua
shape,formă
relative,relativ
tourist,turist
phenomenon,fenomen
fellow,coleg
toss,arunca
publication,publicare
nearby,din apropiere
consideration,considerare
rather,mai degraba
holy,sfânt
enterprise,afacere
due,datorat
inner,interior
watch,ceas
Indian,indian
pray,Rugați -vă
creek,pârâu
supply,livra
boot,cizme
whisper,şoaptă
resist,a rezista
journey,călătorie
flag,steag
disorder,tulburare
designer,designer
literally,literalmente
apparent,aparent
permanent,permanent
angle,unghi
smooth,neted
unlike,spre deosebire de
tablespoon,Lingura de masa
smoke,fum
consultant,consultant
twin,gemeni
favor,favoare
throat,gât
construct,construi
birthday,zi de nastere
soon,curând
swing,leagăn
supporter,suporter
testing,testare
reasonable,rezonabil
mail,Poștă
silver,argint
retirement,pensionare
sensitive,sensibil
gentleman,domn
navy,Marina
terrorism,terorism
occasionally,ocazional
glance,privire
observer,observator
constantly,constant
bind,lega
wet,umed
line,linia
dig,săpa
quit,părăsi
digital,digital
straight,Drept
vs,vs
assist,asista
employment,angajare
suggestion,sugestie
rapidly,rapid
estimate,estima
embrace,îmbrăţişare
junior,Junior
stomach,stomac
extreme,extrem
pretty,frumos
mine,A mea
recovery,recuperare
negotiate,a negocia
impression,impresie
wage,salariu
fifth,a cincea
FALSE,FALS
count,numara
pink,roz
absence,absența
aggressive,agresiv
corn,porumb
mixture,amestec
substantial,substanțial
grandmother,Bunica
quietly,in liniste
jail,temniță
specialist,specialist
dealer,dealer
poem,poem
butter,unt
conventional,convenţional
pace,ritm
intention,intenție
peer,peer
restore,restabili
wooden,de lemn
criticize,a critica
nevertheless,cu toate acestea
approval,aprobare
historic,istoric
secure,sigur
preparation,Pregătire
Latin,latin
lord,Lord
teaspoon,linguriţă
musical,muzical
weigh,cântărește
comment,cometariu
pan,tigaie
assure,asigura
viewer,vizualizator
arise,apărea
administrator,administrator
immigration,imigrare
plant,plantă
honest,sincer
origin,origine
giant,gigant
diversity,diversitate
tomato,roșie
advise,recomanda
biological,biologic
shell,coajă
essay,eseu
roll,rulează
historian,istoric
deputy,adjunct
date,Data
effectively,în mod eficient
fast,rapid
schedule,programa
buck,dolar
tube,tub
refugee,refugiat
depth,adâncime
flat,apartament
precisely,exact
mad,nebun
alternative,alternativă
disability,dizabilitate
destruction,distrugere
dream,vis
drop,cădere brusca
assumption,presupunere
normally,în mod normal
angel,înger
pop,Pop
criteria,criterii
minor,minor
crop,a decupa
barrier,barieră
assign,atribui
elementary,elementar
valuable,valoros
testimony,mărturie
stake,miza
concert,concert
label,eticheta
routine,rutină
wealth,bogatie
professional,profesional
gang,bandă
incorporate,încorporează
brand,marca
recipe,reţetă
vacation,concediu de odihna
utility,utilitate
satellite,satelit
extraordinary,extraordinar
wave,val
ultimate,final
chemical,chimic
advocate,avocat
wonder,mirare
educator,educator
cake,tort
phrase,fraza
yell,strigăt
personally,personal
respondent,respondent
Palestinian,palestinian
classic,clasic
snap,SNAP
via,prin intermediul
lawsuit,proces
install,instalare
sweep,mătura
festival,festival
draft,proiect
heaven,cer
switch,intrerupator
activist,activist
ceiling,tavan
clock,ceas
graduate,absolvent
aunt,mătuşă
darkness,întuneric
daddy,Tati
royal,regal
advertising,publicitate
rough,stare brută
pregnant,gravidă
penalty,penalizare
distant,îndepărtat
developing,în curs de dezvoltare
yield,Randament
wind,vânt
armed,armat
mechanism,mecanism
rank,rang
killer,ucigaş
fence,gard
ahead,înainte
universal,universal
terror,teroare
wolf,lup
house,casă
anxiety,anxietate
chemical,chimic
found,găsite
protein,proteină
engineering,Inginerie
clothing,îmbrăcăminte
proceed,continua
fiber,fibră
react,reacţiona
bottom,partea de jos
spin,a învârti
roughly,aproximativ
drama,dramă
liberty,libertate
ingredient,ingredient
hip,şold
provision,dispoziţie
burden,povară
teen,adolescent
survival,supravieţuire
unlikely,improbabil
Italian,Italiană
chamber,cameră
lost,pierdut
communicate,comunica
stupid,prost
bet,pariu
advance,avans
Muslim,Musulman
bell,clopot
onion,ceapă
disagree,dezacord
encounter,întâlni
constitutional,constituţional
cabinet,cabinet
remarkable,remarcabil
broken,rupt
latter,acesta din urmă
overcome,a depasi
virus,virus
stranger,străin
retain,reține
match,Meci
prize,premiu
string,şir
exhibition,expoziţie
expansion,expansiune
tremendous,extraordinar
bunch,buchet
assistant,asistent
initially,inițial
accurate,exact
cheek,obraz
index,index
occupy,ocupa
gear,Angrenaj
guarantee,garanție
chocolate,ciocolată
ceremony,ceremonie
button,buton
shopping,cumpărături
pay,a plati
dispute,disputa
like,ca
furniture,mobila
marine,marin
statistics,statistici
Olympic,olimpic
balance,echilibru
wipe,sterge
spokesman,purtător de cuvânt
super,super
Islamic,Islamic
track,urmări
translate,Traduceți
interpret,interpreta
testify,depune mărturie
cooperation,cooperare
friendly,prietenos
profile,profil
pants,pantaloni
whereas,întrucât
honor,onora
elite,elită
decline,declin
port,port
complicated,complicat
cousin,văr
strategic,strategic
terrorist,terorist
chart,diagramă
drawing,desen
though,deşi
gently,ușor
pack,ambalaj
odd,ciudat
incentive,stimulent
innocent,nevinovat
imply,implică
taste,gust
stadium,stadiu
scenario,scenariu
shooting,filmare
blind,ORB
assembly,asamblare
withdraw,retrage
strip,bandă
market,piaţă
lover,iubit
process,proces
mainly,în principal
aircraft,aeronave
newly,recent
ideal,ideal
dirt,murdărie
flow,curgere
boundary,limite
resort,stațiune
genetic,genetic
stick,băț
concentration,concentraţie
naturally,natural
ministry,Ministerul
surprising,surprinzător
adviser,consilier
recommendation,recomandare
similarly,în mod similar
justify,justifica
wildlife,viata salbatica
bench,bancă
bullet,glonţ
mode,Mod
square,pătrat
champion,campion
dismiss,respinge
deck,punte
lifetime,durata de viață
extensive,extensiv
attractive,atractiv
politically,politic
regularly,in mod regulat
raw,brut
fault,vina
clinical,clinic
detect,detecta
considerable,considerabil
working,lucru
partly,parţial
platform,platformă
remote,la distanta
blue,albastru
respect,respect
top,top
fortune,avere
slave,sclav
delivery,livrare
worth,in valoare de
reflection,reflecţie
relevant,relevant
unknown,necunoscut
pause,pauză
likely,probabil
tissue,țesut
sink,chiuvetă
counter,tejghea
Bible,Biblie
license,licență
tragedy,tragedie
assistant,asistent
dialogue,dialog
mutual,reciproc
loose,slăbit
external,extern
pride,mândrie
awareness,conștientizare
electricity,electricitate
diverse,divers
advanced,avansat
free,gratuit
faster,Mai repede
conservative,conservator
online,pe net
assault,asalt
shortly,pe scurt
finance,finanţa
originally,iniţial
founder,fondator
lie,minciună
characterize,caracteriza
protest,protest
pole,stâlp
intellectual,intelectual
communist,comunist
infection,infecţie
controversy,controversă
double,dubla
freeze,îngheţa
portrait,portret
proof,dovadă
satisfaction,satisfacţie
insight,perspectivă
headquarters,sediu
stair,scară
crash,accident
constitute,constitui
thirty,treizeci
alter,modifica
sudden,brusc
not,nu
potentially,potenţial
dirty,murdar
evolve,evolua
teenager,adolescent
violation,încălcare
joy,bucurie
smell,miros
possess,poseda
hurricane,uragan
offense,delict
relax,Relaxați-vă
appeal,recurs
mount,montură
treaty,tratat
prior,înainte
memorial,memorial
establishment,stabilire
hold,ține
tap,Atingeți
swim,înot
properly,corect
gulf,golf
tongue,limbă
salad,salată
practice,practică
favorite,favorit
shelter,adăpost
correspondent,corespondent
introduction,introducere
funeral,înmormântare
literary,literar
convert,convertit
violate,încalcă
rub,freca
entrance,Intrare
episode,episod
tournament,turneu
vital,vital
stable,grajd
split,Despică
representation,reprezentare
stress,stres
fiction,fictiune
lane,BANDĂ
distinction,distincţie
segment,segment
transfer,transfer
comprehensive,cuprinzător
confident,încrezător
easy,uşor
prominent,proeminent
presentation,prezentare
net,net
squeeze,stoarce
tobacco,tutun
significance,semnificaţie
imagination,imaginație
pretend,pretinde
mere,doar
mix,amesteca
spot,loc
fade,decolorare
steady,constant
neither,nici
target,ţintă
nowhere,nicăieri
variation,variație
radical,radical
adventure,aventură
profession,profesie
exciting,captivant
fate,Soarta
regardless,indiferent
load,sarcină
singer,cântăreaţă
distribute,distribui
ton,tonă
instance,instanță
affiliation,afiliere
hunting,vânătoare
pale,palid
paint,a picta
poet,poet
gradually,treptat
partnership,parteneriat
capability,capacitate
Canadian,canadian
tech,Tehnologie
commerce,comerţ
grandfather,bunic
bake,coace
shelf,raft
honey,Miere
round,rundă
flee,fugi
adapt,adapta
buyer,cumpărător
divorce,divorț
defensive,defensivă
bombing,bombardament
scared,speriat
gesture,gest
poetry,poezie
reserve,rezervă
satisfy,satisface
pollution,poluare
lawn,gazon
depending,în funcție
wisdom,înţelepciune
since,de cand
comfort,confort
plot,complot
vulnerable,vulnerabil
